date,home_team,away_team,home_goals,away_goals
2025-10-29T20:05:00Z,Paris FC,Olympique Lyonnais,3,3
2025-10-29T20:05:00Z,Toulouse FC,Stade Rennais FC 1901,2,2
2025-10-29T20:05:00Z,Olympique de Marseille,Angers SCO,2,2
2025-10-29T20:05:00Z,RC Strasbourg Alsace,AJ Auxerre,3,0
2025-11-01T16:00:00Z,Paris Saint-Germain FC,OGC Nice,1,0
2025-11-01T18:00:00Z,AS Monaco FC,Paris FC,0,1
2025-11-01T20:05:00Z,AJ Auxerre,Olympique de Marseille,0,1
2025-11-02T14:00:00Z,Stade Rennais FC 1901,RC Strasbourg Alsace,4,1
2025-11-02T16:15:00Z,FC Nantes,FC Metz,0,2
2025-11-02T16:15:00Z,Toulouse FC,Le Havre AC,0,0
2025-11-02T16:15:00Z,Lille OSC,Angers SCO,1,0
2025-11-02T16:15:00Z,Racing Club de Lens,FC Lorient,3,0
2025-11-02T19:45:00Z,Stade Brestois 29,Olympique Lyonnais,0,0
2025-11-07T19:45:00Z,Paris FC,Stade Rennais FC 1901,0,1
2025-11-08T16:00:00Z,Olympique de Marseille,Stade Brestois 29,3,0
2025-11-08T18:00:00Z,Le Havre AC,FC Nantes,1,1
2025-11-08T20:05:00Z,AS Monaco FC,Racing Club de Lens,1,4
2025-11-09T14:00:00Z,FC Lorient,Toulouse FC,1,1
2025-11-09T16:15:00Z,FC Metz,OGC Nice,2,1
2025-11-09T16:15:00Z,RC Strasbourg Alsace,Lille OSC,2,0
2025-11-09T16:15:00Z,Angers SCO,AJ Auxerre,2,0
2025-11-09T19:45:00Z,Olympique Lyonnais,Paris Saint-Germain FC,2,3
2025-11-21T19:45:00Z,OGC Nice,Olympique de Marseille,1,5
2025-11-22T16:00:00Z,Racing Club de Lens,RC Strasbourg Alsace,1,0
2025-11-22T18:00:00Z,Stade Rennais FC 1901,AS Monaco FC,4,1
2025-11-22T20:05:00Z,Paris Saint-Germain FC,Le Havre AC,3,0
2025-11-23T14:00:00Z,AJ Auxerre,Olympique Lyonnais,0,0
2025-11-23T16:15:00Z,FC Nantes,FC Lorient,1,1
2025-11-23T16:15:00Z,Toulouse FC,Angers SCO,0,1
2025-11-23T16:15:00Z,Stade Brestois 29,FC Metz,3,2
2025-11-23T19:45:00Z,Lille OSC,Paris FC,4,2
2025-11-28T19:45:00Z,FC Metz,Stade Rennais FC 1901,0,1
2025-11-29T16:00:00Z,AS Monaco FC,Paris Saint-Germain FC,1,0
2025-11-29T18:00:00Z,Paris FC,AJ Auxerre,1,1
2025-11-29T20:05:00Z,Olympique de Marseille,Toulouse FC,2,2
2025-11-30T14:00:00Z,RC Strasbourg Alsace,Stade Brestois 29,1,2
2025-11-30T16:15:00Z,Le Havre AC,Lille OSC,0,1
2025-11-30T16:15:00Z,FC Lorient,OGC Nice,3,1
2025-11-30T16:15:00Z,Angers SCO,Racing Club de Lens,1,2
2025-11-30T19:45:00Z,Olympique Lyonnais,FC Nantes,3,0
2025-12-05T18:00:00Z,Stade Brestois 29,AS Monaco FC,1,0
2025-12-05T20:00:00Z,Lille OSC,Olympique de Marseille,1,0
2025-12-06T16:00:00Z,FC Nantes,Racing Club de Lens,1,2
2025-12-06T18:00:00Z,Toulouse FC,RC Strasbourg Alsace,1,0
2025-12-06T20:05:00Z,Paris Saint-Germain FC,Stade Rennais FC 1901,5,0
2025-12-07T14:00:00Z,OGC Nice,Angers SCO,0,1
2025-12-07T16:15:00Z,Le Havre AC,Paris FC,0,0
2025-12-07T16:15:00Z,AJ Auxerre,FC Metz,3,1
2025-12-07T19:45:00Z,FC Lorient,Olympique Lyonnais,1,0
2025-12-12T19:45:00Z,Angers SCO,FC Nantes,4,1
2025-12-13T16:00:00Z,Stade Rennais FC 1901,Stade Brestois 29,3,1
2025-12-13T18:00:00Z,FC Metz,Paris Saint-Germain FC,2,3
2025-12-13T20:05:00Z,Paris FC,Toulouse FC,0,3
2025-12-14T14:00:00Z,Olympique Lyonnais,Le Havre AC,1,0
2025-12-14T16:15:00Z,AJ Auxerre,Lille OSC,3,4
2025-12-14T16:15:00Z,RC Strasbourg Alsace,FC Lorient,0,0
2025-12-14T16:15:00Z,Racing Club de Lens,OGC Nice,2,0
2025-12-14T19:45:00Z,Olympique de Marseille,AS Monaco FC,1,0
