date,home_team,away_team,home_goals,away_goals
2025-10-31T19:00:00Z,PSV,Fortuna Sittard,5,2
2025-11-01T15:30:00Z,AFC Ajax,SC Heerenveen,1,1
2025-11-01T17:45:00Z,NAC Breda,Go Ahead Eagles,1,0
2025-11-01T19:00:00Z,Feyenoord Rotterdam,FC Volendam,3,1
2025-11-01T20:00:00Z,Telstar 1963,SBV Excelsior,2,2
2025-11-02T11:15:00Z,Heracles Almelo,PEC Zwolle,8,2
2025-11-02T13:30:00Z,FC Groningen,FC Twente '65,1,1
2025-11-02T13:30:00Z,Sparta Rotterdam,AZ,0,1
2025-11-02T15:45:00Z,FC Utrecht,NEC,1,0
2025-11-07T19:00:00Z,FC Twente '65,Telstar 1963,0,0
2025-11-08T15:30:00Z,SBV Excelsior,Heracles Almelo,1,2
2025-11-08T17:45:00Z,FC Volendam,NAC Breda,2,1
2025-11-08T19:00:00Z,Fortuna Sittard,SC Heerenveen,2,0
2025-11-08T20:00:00Z,PEC Zwolle,Sparta Rotterdam,1,0
2025-11-09T11:15:00Z,FC Utrecht,AFC Ajax,2,1
2025-11-09T13:30:00Z,NEC,FC Groningen,2,0
2025-11-09T15:45:00Z,AZ,PSV,1,5
2025-11-09T19:00:00Z,Go Ahead Eagles,Feyenoord Rotterdam,2,1
2025-11-22T15:30:00Z,NAC Breda,PSV,0,1
2025-11-22T17:45:00Z,AFC Ajax,SBV Excelsior,1,2
2025-11-22T17:45:00Z,FC Volendam,FC Twente '65,1,1
2025-11-22T20:00:00Z,Heracles Almelo,Go Ahead Eagles,4,2
2025-11-22T20:00:00Z,Sparta Rotterdam,Fortuna Sittard,1,1
2025-11-23T11:15:00Z,SC Heerenveen,AZ,3,1
2025-11-23T13:30:00Z,Feyenoord Rotterdam,NEC,2,4
2025-11-23T13:30:00Z,Telstar 1963,FC Utrecht,1,1
2025-11-23T15:45:00Z,FC Groningen,PEC Zwolle,2,2
2025-11-28T19:00:00Z,PEC Zwolle,SC Heerenveen,2,1
2025-11-29T15:30:00Z,SBV Excelsior,NAC Breda,1,0
2025-11-29T17:45:00Z,Fortuna Sittard,Heracles Almelo,1,1
2025-11-29T20:00:00Z,NEC,Sparta Rotterdam,3,1
2025-11-30T11:15:00Z,PSV,FC Volendam,3,0
2025-11-30T13:30:00Z,Go Ahead Eagles,FC Utrecht,2,2
2025-11-30T13:30:00Z,Telstar 1963,Feyenoord Rotterdam,1,2
2025-11-30T15:45:00Z,FC Twente '65,AZ,1,0
2025-12-02T13:30:00Z,AFC Ajax,FC Groningen,2,0
2025-12-05T19:00:00Z,SBV Excelsior,FC Groningen,0,2
2025-12-06T15:30:00Z,SC Heerenveen,PSV,0,2
2025-12-06T17:45:00Z,Fortuna Sittard,AFC Ajax,1,3
2025-12-06T19:00:00Z,Heracles Almelo,Telstar 1963,1,1
2025-12-06T20:00:00Z,Feyenoord Rotterdam,PEC Zwolle,6,1
2025-12-07T11:15:00Z,FC Utrecht,FC Twente '65,1,1
2025-12-07T13:30:00Z,AZ,Go Ahead Eagles,2,2
2025-12-07T13:30:00Z,FC Volendam,NEC,2,3
2025-12-07T15:45:00Z,Sparta Rotterdam,NAC Breda,1,0
2025-12-13T15:30:00Z,Telstar 1963,NEC,2,2
2025-12-13T17:45:00Z,FC Groningen,FC Volendam,3,0
2025-12-13T19:00:00Z,PSV,Heracles Almelo,4,3
2025-12-13T20:00:00Z,PEC Zwolle,Fortuna Sittard,1,0
2025-12-14T11:15:00Z,Sparta Rotterdam,SC Heerenveen,0,3
2025-12-14T13:30:00Z,AFC Ajax,Feyenoord Rotterdam,2,0
2025-12-14T13:30:00Z,FC Twente '65,Go Ahead Eagles,2,0
2025-12-14T15:45:00Z,NAC Breda,FC Utrecht,1,1
2025-12-20T15:30:00Z,Heracles Almelo,SC Heerenveen,0,3
