date,home_team,away_team,home_goals,away_goals
2025-11-01T17:30:00Z,FC Bayern München,Bayer 04 Leverkusen,3,0
2025-11-02T14:30:00Z,1. FC Köln,Hamburger SV,4,1
2025-11-02T16:30:00Z,VfL Wolfsburg,TSG 1899 Hoffenheim,2,3
2025-11-07T19:30:00Z,SV Werder Bremen,VfL Wolfsburg,2,1
2025-11-08T14:30:00Z,Bayer 04 Leverkusen,1. FC Heidenheim 1846,6,0
2025-11-08T14:30:00Z,1. FC Union Berlin,FC Bayern München,2,2
2025-11-08T14:30:00Z,TSG 1899 Hoffenheim,RB Leipzig,3,1
2025-11-08T14:30:00Z,Hamburger SV,Borussia Dortmund,1,1
2025-11-08T17:30:00Z,Borussia Mönchengladbach,1. FC Köln,3,1
2025-11-09T14:30:00Z,SC Freiburg,FC St. Pauli 1910,2,1
2025-11-09T16:30:00Z,VfB Stuttgart,FC Augsburg,3,2
2025-11-09T18:30:00Z,Eintracht Frankfurt,1. FSV Mainz 05,1,0
2025-11-21T19:30:00Z,1. FSV Mainz 05,TSG 1899 Hoffenheim,1,1
2025-11-22T14:30:00Z,FC Bayern München,SC Freiburg,6,2
2025-11-22T14:30:00Z,Borussia Dortmund,VfB Stuttgart,3,3
2025-11-22T14:30:00Z,VfL Wolfsburg,Bayer 04 Leverkusen,1,3
2025-11-22T14:30:00Z,FC Augsburg,Hamburger SV,1,0
2025-11-22T14:30:00Z,1. FC Heidenheim 1846,Borussia Mönchengladbach,0,3
2025-11-22T17:30:00Z,1. FC Köln,Eintracht Frankfurt,3,4
2025-11-23T14:30:00Z,RB Leipzig,SV Werder Bremen,2,0
2025-11-23T16:30:00Z,FC St. Pauli 1910,1. FC Union Berlin,0,1
2025-11-28T19:30:00Z,Borussia Mönchengladbach,RB Leipzig,0,0
2025-11-29T14:30:00Z,FC Bayern München,FC St. Pauli 1910,3,1
2025-11-29T14:30:00Z,SV Werder Bremen,1. FC Köln,1,1
2025-11-29T14:30:00Z,1. FC Union Berlin,1. FC Heidenheim 1846,1,2
2025-11-29T14:30:00Z,TSG 1899 Hoffenheim,FC Augsburg,3,0
2025-11-29T17:30:00Z,Bayer 04 Leverkusen,Borussia Dortmund,1,2
2025-11-30T14:30:00Z,Hamburger SV,VfB Stuttgart,2,1
2025-11-30T16:30:00Z,Eintracht Frankfurt,VfL Wolfsburg,1,1
2025-11-30T18:30:00Z,SC Freiburg,1. FSV Mainz 05,4,0
2025-12-05T19:30:00Z,1. FSV Mainz 05,Borussia Mönchengladbach,0,1
2025-12-06T14:30:00Z,VfB Stuttgart,FC Bayern München,0,5
2025-12-06T14:30:00Z,VfL Wolfsburg,1. FC Union Berlin,3,1
2025-12-06T14:30:00Z,1. FC Heidenheim 1846,SC Freiburg,2,1
2025-12-06T14:30:00Z,1. FC Köln,FC St. Pauli 1910,1,1
2025-12-06T14:30:00Z,FC Augsburg,Bayer 04 Leverkusen,2,0
2025-12-06T17:30:00Z,RB Leipzig,Eintracht Frankfurt,6,0
2025-12-07T14:30:00Z,Hamburger SV,SV Werder Bremen,3,2
2025-12-07T16:30:00Z,Borussia Dortmund,TSG 1899 Hoffenheim,2,0
2025-12-12T19:30:00Z,1. FC Union Berlin,RB Leipzig,3,1
2025-12-13T14:30:00Z,Eintracht Frankfurt,FC Augsburg,1,0
2025-12-13T14:30:00Z,Borussia Mönchengladbach,VfL Wolfsburg,1,3
2025-12-13T14:30:00Z,FC St. Pauli 1910,1. FC Heidenheim 1846,2,1
2025-12-13T14:30:00Z,TSG 1899 Hoffenheim,Hamburger SV,4,1
2025-12-13T17:30:00Z,Bayer 04 Leverkusen,1. FC Köln,2,0
2025-12-14T14:30:00Z,SC Freiburg,Borussia Dortmund,1,1
2025-12-14T16:30:00Z,FC Bayern München,1. FSV Mainz 05,2,2
2025-12-14T18:30:00Z,SV Werder Bremen,VfB Stuttgart,0,4
2025-12-19T19:30:00Z,Borussia Dortmund,Borussia Mönchengladbach,2,0
2025-12-20T14:30:00Z,VfB Stuttgart,TSG 1899 Hoffenheim,0,0
2025-12-20T14:30:00Z,VfL Wolfsburg,SC Freiburg,3,4
2025-12-20T14:30:00Z,FC Augsburg,SV Werder Bremen,0,0
2025-12-20T14:30:00Z,1. FC Köln,1. FC Union Berlin,0,1
2025-12-20T14:30:00Z,Hamburger SV,Eintracht Frankfurt,2,1
