date,home_team,away_team,home_goals,away_goals
2025-10-30T17:30:00Z,Cagliari Calcio,US Sassuolo Calcio,1,2
2025-10-30T19:45:00Z,AC Pisa 1909,SS Lazio,0,0
2025-11-01T14:00:00Z,Udinese Calcio,Atalanta BC,1,0
2025-11-01T17:00:00Z,SSC Napoli,Como 1907,0,0
2025-11-01T19:45:00Z,US Cremonese,Juventus FC,1,2
2025-11-02T11:30:00Z,Hellas Verona FC,FC Internazionale Milano,1,2
2025-11-02T14:00:00Z,ACF Fiorentina,US Lecce,0,1
2025-11-02T14:00:00Z,Torino FC,AC Pisa 1909,2,2
2025-11-02T17:00:00Z,Parma Calcio 1913,Bologna FC 1909,1,3
2025-11-02T19:45:00Z,AC Milan,AS Roma,1,0
2025-11-03T17:30:00Z,US Sassuolo Calcio,Genoa CFC,1,2
2025-11-03T19:45:00Z,SS Lazio,Cagliari Calcio,2,0
2025-11-07T19:45:00Z,AC Pisa 1909,US Cremonese,1,0
2025-11-08T14:00:00Z,Como 1907,Cagliari Calcio,0,0
2025-11-08T14:00:00Z,US Lecce,Hellas Verona FC,0,0
2025-11-08T17:00:00Z,Juventus FC,Torino FC,0,0
2025-11-08T19:45:00Z,Parma Calcio 1913,AC Milan,2,2
2025-11-09T11:30:00Z,Atalanta BC,US Sassuolo Calcio,0,3
2025-11-09T14:00:00Z,Genoa CFC,ACF Fiorentina,2,2
2025-11-09T14:00:00Z,Bologna FC 1909,SSC Napoli,2,0
2025-11-09T17:00:00Z,AS Roma,Udinese Calcio,2,0
2025-11-09T19:45:00Z,FC Internazionale Milano,SS Lazio,2,0
2025-11-22T14:00:00Z,Cagliari Calcio,Genoa CFC,3,3
2025-11-22T14:00:00Z,Udinese Calcio,Bologna FC 1909,0,3
2025-11-22T17:00:00Z,ACF Fiorentina,Juventus FC,1,1
2025-11-22T19:45:00Z,SSC Napoli,Atalanta BC,3,1
2025-11-23T11:30:00Z,Hellas Verona FC,Parma Calcio 1913,1,2
2025-11-23T14:00:00Z,US Cremonese,AS Roma,1,3
2025-11-23T17:00:00Z,SS Lazio,US Lecce,2,0
2025-11-23T19:45:00Z,FC Internazionale Milano,AC Milan,0,1
2025-11-24T17:30:00Z,Torino FC,Como 1907,1,5
2025-11-24T19:45:00Z,US Sassuolo Calcio,AC Pisa 1909,2,2
2025-11-28T19:45:00Z,Como 1907,US Sassuolo Calcio,2,0
2025-11-29T14:00:00Z,Genoa CFC,Hellas Verona FC,2,1
2025-11-29T14:00:00Z,Parma Calcio 1913,Udinese Calcio,0,2
2025-11-29T17:00:00Z,Juventus FC,Cagliari Calcio,2,1
2025-11-29T19:45:00Z,AC Milan,SS Lazio,1,0
2025-11-30T11:30:00Z,US Lecce,Torino FC,2,1
2025-11-30T14:00:00Z,AC Pisa 1909,FC Internazionale Milano,0,2
2025-11-30T17:00:00Z,Atalanta BC,ACF Fiorentina,2,0
2025-11-30T19:45:00Z,AS Roma,SSC Napoli,0,1
2025-12-01T19:45:00Z,Bologna FC 1909,US Cremonese,1,3
2025-12-06T14:00:00Z,US Sassuolo Calcio,ACF Fiorentina,3,1
2025-12-06T17:00:00Z,FC Internazionale Milano,Como 1907,4,0
2025-12-06T19:45:00Z,Hellas Verona FC,Atalanta BC,3,1
2025-12-07T11:30:00Z,US Cremonese,US Lecce,2,0
2025-12-07T14:00:00Z,Cagliari Calcio,AS Roma,1,0
2025-12-07T17:00:00Z,SS Lazio,Bologna FC 1909,1,1
2025-12-07T19:45:00Z,SSC Napoli,Juventus FC,2,1
2025-12-08T14:00:00Z,AC Pisa 1909,Parma Calcio 1913,0,1
2025-12-08T17:00:00Z,Udinese Calcio,Genoa CFC,1,2
2025-12-08T19:45:00Z,Torino FC,AC Milan,2,3
2025-12-12T19:45:00Z,US Lecce,AC Pisa 1909,1,0
2025-12-13T14:00:00Z,Torino FC,US Cremonese,1,0
2025-12-13T17:00:00Z,Parma Calcio 1913,SS Lazio,0,1
2025-12-13T19:45:00Z,Atalanta BC,Cagliari Calcio,2,1
2025-12-14T11:30:00Z,AC Milan,US Sassuolo Calcio,2,2
2025-12-14T14:00:00Z,ACF Fiorentina,Hellas Verona FC,1,2
2025-12-14T14:00:00Z,Udinese Calcio,SSC Napoli,1,0
2025-12-14T17:00:00Z,Genoa CFC,FC Internazionale Milano,1,2
2025-12-14T19:45:00Z,Bologna FC 1909,Juventus FC,0,1
2025-12-15T19:45:00Z,AS Roma,Como 1907,1,0
